network,station,location,channel,calInput,CalBlockette,start,end,filename
IU,KONO,10,BH1,EC1,310,2018-037 17:25:00,2018-037 18:05:00,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,10,BH1,EC1,310,2018-037 18:18:00,2018-037 18:58:00,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,10,BH1,EC1,310,2018-037 19:10:59,2018-037 19:20:59,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,10,BH1,EC1,310,2018-037 19:34:00,2018-037 19:44:00,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,10,BH1,EC1,300,2018-037 20:07:00,2018-037 20:22:00,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,10,BH1,EC1,320,2018-037 20:49:59,2018-038 00:49:59,/msd/IU_KONO/2018/037/10_BH1.512.seed
IU,KONO,00,BH2,EC0,310,2018-037 04:19:01,2018-037 04:20:01,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,320,2018-037 04:50:00,2018-037 05:05:00,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,310,2018-037 05:41:59,2018-037 06:21:59,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,310,2018-037 06:35:00,2018-037 07:15:00,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,310,2018-037 07:27:59,2018-037 07:37:59,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,310,2018-037 07:51:00,2018-037 08:01:00,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,300,2018-037 08:24:00,2018-037 08:39:00,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,320,2018-037 09:07:00,2018-037 13:07:00,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,00,BH2,EC0,320,2018-037 13:07:14,2018-037 17:07:14,/msd/IU_KONO/2018/037/00_BH2.512.seed
IU,KONO,10,BH2,EC1,320,2018-037 04:27:00,2018-037 04:42:00,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,310,2018-037 17:25:00,2018-037 18:05:00,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,310,2018-037 18:18:00,2018-037 18:58:00,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,310,2018-037 19:10:59,2018-037 19:20:59,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,310,2018-037 19:34:00,2018-037 19:44:00,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,300,2018-037 20:07:00,2018-037 20:22:00,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,10,BH2,EC1,320,2018-037 20:49:59,2018-038 00:49:59,/msd/IU_KONO/2018/037/10_BH2.512.seed
IU,KONO,00,BHZ,EC0,310,2018-037 04:19:01,2018-037 04:20:01,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,320,2018-037 04:50:00,2018-037 05:05:00,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,310,2018-037 05:41:59,2018-037 06:21:59,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,310,2018-037 06:35:00,2018-037 07:15:00,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,310,2018-037 07:27:59,2018-037 07:37:59,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,310,2018-037 07:51:00,2018-037 08:01:00,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,300,2018-037 08:24:00,2018-037 08:39:00,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,320,2018-037 09:07:00,2018-037 13:07:00,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,00,BHZ,EC0,320,2018-037 13:07:14,2018-037 17:07:14,/msd/IU_KONO/2018/037/00_BHZ.512.seed
IU,KONO,10,BHZ,EC1,320,2018-037 04:27:00,2018-037 04:42:00,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,310,2018-037 17:25:00,2018-037 18:05:00,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,310,2018-037 18:18:00,2018-037 18:58:00,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,310,2018-037 19:10:59,2018-037 19:20:59,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,310,2018-037 19:34:00,2018-037 19:44:00,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,300,2018-037 20:07:00,2018-037 20:22:00,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,BHZ,EC1,320,2018-037 20:49:59,2018-038 00:49:59,/msd/IU_KONO/2018/037/10_BHZ.512.seed
IU,KONO,10,EHZ,EC1,320,2018-037 04:27:00,2018-037 04:42:00,/msd/IU_KONO/2018/037/10_EHZ.512.seed
IU,KIEV,00,BH1,BC0,300,2018-037 13:16:00,2018-037 13:36:00,/msd/IU_KIEV/2018/037/00_BH1.512.seed
IU,KIEV,00,BH2,BC0,300,2018-037 13:16:00,2018-037 13:36:00,/msd/IU_KIEV/2018/037/00_BH2.512.seed
IU,KIEV,00,BHZ,BC0,300,2018-037 13:16:00,2018-037 13:36:00,/msd/IU_KIEV/2018/037/00_BHZ.512.seed
GS,ASL8,10,BH1,EHZ,320,2018-037 22:32:00,2018-037 22:47:00,/msd/GS_ASL8/2018/037/10_BH1.512.seed
GS,ASL8,10,BH2,EHZ,320,2018-037 22:32:00,2018-037 22:47:00,/msd/GS_ASL8/2018/037/10_BH2.512.seed
GS,ASL8,10,BHZ,EHZ,320,2018-037 22:32:00,2018-037 22:47:00,/msd/GS_ASL8/2018/037/10_BHZ.512.seed
IU,KIEV,00,BH1,BC0,310,2018-038 00:41:07,2018-038 00:42:07,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,BC0,310,2018-038 00:55:00,2018-038 01:35:00,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,BC0,300,2018-038 01:58:00,2018-038 02:13:00,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,   ,310,2018-038 02:30:01,2018-038 02:31:01,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,   ,310,2018-038 02:39:01,2018-038 02:40:01,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,   ,300,2018-038 02:47:06,2018-038 02:47:07,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,BC0,300,2018-038 10:46:00,2018-038 11:06:00,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,BC0,300,2018-038 11:42:00,2018-038 12:02:00,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,00,BH1,BC0,300,2018-038 15:30:00,2018-038 15:45:00,/msd/IU_KIEV/2018/038/00_BH1.512.seed
IU,KIEV,10,BH1,BC1,310,2018-038 00:29:01,2018-038 01:29:01,/msd/IU_KIEV/2018/038/10_BH1.512.seed
IU,KIEV,00,BH2,BC0,310,2018-038 00:41:07,2018-038 00:42:07,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,BC0,310,2018-038 00:55:00,2018-038 01:35:00,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,BC0,300,2018-038 01:58:00,2018-038 02:13:00,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,   ,310,2018-038 02:30:01,2018-038 02:31:01,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,   ,310,2018-038 02:39:01,2018-038 02:40:01,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,   ,300,2018-038 02:47:06,2018-038 02:47:07,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,BC0,300,2018-038 10:46:00,2018-038 11:06:00,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,BC0,300,2018-038 11:42:00,2018-038 12:02:00,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,00,BH2,BC0,300,2018-038 15:30:00,2018-038 15:45:00,/msd/IU_KIEV/2018/038/00_BH2.512.seed
IU,KIEV,10,BH2,BC1,310,2018-038 00:29:01,2018-038 01:29:01,/msd/IU_KIEV/2018/038/10_BH2.512.seed
IU,KIEV,00,BHZ,BC0,310,2018-038 00:41:07,2018-038 00:42:07,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,BC0,310,2018-038 00:55:00,2018-038 01:35:00,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,BC0,300,2018-038 01:58:00,2018-038 02:13:00,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,   ,310,2018-038 02:30:01,2018-038 02:31:01,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,   ,310,2018-038 02:39:01,2018-038 02:40:01,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,   ,300,2018-038 02:47:06,2018-038 02:47:07,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,BC0,300,2018-038 10:46:00,2018-038 11:06:00,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,BC0,300,2018-038 11:42:00,2018-038 12:02:00,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,00,BHZ,BC0,300,2018-038 15:30:00,2018-038 15:45:00,/msd/IU_KIEV/2018/038/00_BHZ.512.seed
IU,KIEV,10,BHZ,BC1,310,2018-038 00:29:01,2018-038 01:29:01,/msd/IU_KIEV/2018/038/10_BHZ.512.seed
IU,KIEV,10,EHZ,BC1,310,2018-038 00:29:01,2018-038 01:29:01,/msd/IU_KIEV/2018/038/10_EHZ.512.seed
GS,ASL8,10,BH1,EHZ,320,2018-038 00:10:00,2018-038 04:10:00,/msd/GS_ASL8/2018/038/10_BH1.512.seed
GS,ASL8,10,BH2,EHZ,320,2018-038 00:10:00,2018-038 04:10:00,/msd/GS_ASL8/2018/038/10_BH2.512.seed
GS,ASL8,10,BHZ,EHZ,320,2018-038 00:10:00,2018-038 04:10:00,/msd/GS_ASL8/2018/038/10_BHZ.512.seed
